Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",-8.890000,0.000000,0.000000,bottom
"C2","10uF","CP_Elec_3x5.4",-3.278000,0.000000,180.000000,bottom
"C3","0.1uF","C_0805_2012Metric",20.574000,23.111500,-90.000000,bottom
"C4","10uF","CP_Elec_3x5.4",28.702000,23.241000,0.000000,bottom
"C5","0.1uF","C_0805_2012Metric",111.587300,16.196000,-90.000000,bottom
"C6","10uF","CP_Elec_3x5.4",119.715300,16.389000,0.000000,bottom
"C7","0.1uF","C_0805_2012Metric",22.606000,23.111500,90.000000,bottom
"C8","0.1uF","C_0805_2012Metric",113.619300,16.196000,90.000000,bottom
"C9","0.1uF","C_0805_2012Metric",41.149300,-18.730000,-90.000000,bottom
"C10","0.1uF","C_0805_2012Metric",37.313900,-21.386800,180.000000,bottom
"C11","0.1uF","C_0603_1608Metric",-1.016000,-12.192000,-90.000000,bottom
"C12","0.1uF","C_0603_1608Metric",-1.014000,12.186000,90.000000,bottom
"C13","10uF","C_0805_2012Metric",6.036300,-4.064000,0.000000,bottom
"C14","0.1uF","C_0603_1608Metric",6.049300,-2.286000,0.000000,bottom
"C15","2.5pF","C_0402_1005Metric",-0.694000,-5.395900,90.000000,bottom
"C16","X","CP_EIA-2012-15_AVX-P",8.577000,3.759200,-90.000000,bottom
"C17","X","C_0603_1608Metric",6.036300,-0.762000,0.000000,bottom
"C18","X","C_0402_1005Metric",14.664500,-3.681000,90.000000,bottom
"C19","X","C_0402_1005Metric",14.664500,-1.763000,90.000000,bottom
"C20","X","C_0402_1005Metric",14.654900,2.032000,-90.000000,bottom
"C21","X","C_0402_1005Metric",14.654900,0.127000,-90.000000,bottom
"C22","X","C_0402_1005Metric",14.204575,3.922000,0.000000,bottom
"C23","X","C_0402_1005Metric",12.286575,3.922000,0.000000,bottom
"C24","X","C_0402_1005Metric",13.336300,1.918000,-90.000000,bottom
"C25","X","C_0402_1005Metric",13.336300,0.000000,-90.000000,bottom
"C26","1pF","C_0402_1005Metric",6.808500,3.149600,-90.000000,bottom
"C27","0.1uF","C_0603_1608Metric",5.275000,3.149600,-90.000000,bottom
"CS1","11.1pF","C_0603_1608Metric",-0.508000,18.034000,90.000000,bottom
"CS2","1.11pF","C_0402_1005Metric",5.842000,20.828000,180.000000,bottom
"CS3","1.11pF","C_0402_1005Metric",6.350000,15.113000,180.000000,bottom
"CS4","10uF","C_0805_2012Metric",10.160000,18.034000,-90.000000,bottom
"CS5","0.1uF","C_0805_2012Metric",12.192000,18.034000,90.000000,bottom
"CS6","11.1pF","C_0603_1608Metric",-0.508000,-18.034000,90.000000,bottom
"CS7","1.11pF","C_0402_1005Metric",5.842000,-15.240000,180.000000,bottom
"CS8","1.11pF","C_0402_1005Metric",6.350000,-20.955000,180.000000,bottom
"CS9","10uF","C_0805_2012Metric",10.160000,-18.034000,-90.000000,bottom
"CS10","0.1uF","C_0805_2012Metric",12.192000,-18.034000,90.000000,bottom
"D1","D","Nexperia_CFP3_SOD-123W",26.162000,31.292800,0.000000,bottom
"D2","D","Nexperia_CFP3_SOD-123W",117.175300,24.390000,0.000000,bottom
"D3","Ge","Nexperia_CFP3_SOD-123W",72.593200,-33.375600,180.000000,bottom
"J3","Barrel_Jack","BarrelJack_Horizontal",188.684300,21.590000,-90.000000,bottom
"J3V0-1","Conn_01x01_Male","PinHeader_1x01_P2.54mm_Vertical",7.620000,-29.337000,180.000000,bottom
"J3V1-1","Conn_01x01_Male","PinHeader_1x01_P2.54mm_Vertical",19.051300,17.526000,180.000000,bottom
"J4","BME280","PinSocket_1x07_P2.54mm_Vertical",72.390000,16.510000,90.000000,bottom
"J5","RFShield_OnePiece","Laird_Technologies_BMI-S-101_13.66x12.70mm",10.253100,0.012900,90.000000,bottom
"J5-1","BNO055-1","PinSocket_1x06_P2.54mm_Vertical",85.090000,-3.810000,-90.000000,bottom
"J5-2","BNO055-2","PinSocket_1x04_P2.54mm_Vertical",82.550000,11.430000,-90.000000,bottom
"J5V3-1","Conn_01x01_Male","PinHeader_1x01_P2.54mm_Vertical",18.035300,32.766000,180.000000,bottom
"J5V3-2","Conn_01x01_Male","PinHeader_1x01_P2.54mm_Vertical",11.303000,-29.337000,180.000000,bottom
"J6","Conn_02x16_Counter_Clockwise","PinSocket_4x16_P2.54mm_Vertical",-55.372000,35.052000,90.000000,bottom
"J7","Conn_02x16_Counter_Clockwise","PinSocket_4x16_P2.54mm_Vertical",-55.372000,-27.432000,90.000000,bottom
"JAC2","Conn_01x08_Female","ArduCam2MP",-45.552700,23.398000,90.000000,bottom
"JALT1","ALTITUDE","JST_EH_S7B-EH_1x07_P2.50mm_Horizontal",48.648000,-24.645500,0.000000,bottom
"JALT2","ALTITUDE","JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal",41.148000,-29.464000,180.000000,bottom
"JAPC-1","APC220","PinSocket_1x07_P2.54mm_Vertical",33.528000,-0.012900,90.000000,bottom
"JAPC-2","APC220","PinSocket_1x07_P2.54mm_Vertical",106.649300,-0.012900,90.000000,bottom
"JBAT1","Conn_01x02_Female","Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal",72.390000,25.730000,180.000000,bottom
"JBAT2","Conn_01x02_Female","Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal",109.189300,25.728000,180.000000,bottom
"JCAM1","Camera","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",54.730000,-2.794000,180.000000,bottom
"JCAM2","Camera","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",54.737000,-12.954000,180.000000,bottom
"JDIS1","Display","PinSocket_1x08_P2.54mm_Vertical",137.894300,28.917000,90.000000,bottom
"JDIS2","Display","PinSocket_1x11_P2.54mm_Vertical",126.905300,25.603000,180.000000,bottom
"JGND1-1","Conn_01x01_Male","PinHeader_1x01_P2.54mm_Vertical",-3.810000,32.766000,180.000000,bottom
"JGND1-2","Conn_01x01_Male","PinHeader_1x01_P2.54mm_Vertical",-0.508000,-25.908000,180.000000,bottom
"JGPS2","GPS","PinSocket_1x05_P2.54mm_Vertical",85.090000,-8.890000,-90.000000,bottom
"JGPS3","GPS","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",88.098000,-15.887900,0.000000,bottom
"JI2C1","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",62.230000,-21.717000,180.000000,bottom
"JI2C3v-1","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",54.610000,-21.711600,180.000000,bottom
"JIF1","Payload","PinHeader_1x04_P2.54mm_Vertical",95.250000,3.810000,180.000000,bottom
"JIF2","Base","PinSocket_1x04_P2.54mm_Vertical",100.838000,3.810000,180.000000,bottom
"JIR1","Infrared","PinHeader_1x04_P2.54mm_Horizontal",82.550000,29.210000,180.000000,bottom
"JVIN1-1","Conn_01x01_Male","PinHeader_1x01_P2.54mm_Vertical",18.035300,28.702000,180.000000,bottom
"PD2","S1336-18BK","S1336",-8.128000,-25.908000,180.000000,bottom
"Q1","FDN340P","SOT-23",27.940000,27.178000,90.000000,bottom
"Q2","FDN340P","SOT-23",118.953300,20.326000,90.000000,bottom
"R1","100K","R_0805_2012Metric",24.638000,23.111500,90.000000,bottom
"R2","100K","R_0805_2012Metric",115.651300,16.196000,90.000000,bottom
"R3","330","R_0805_2012Metric",153.137900,-11.061900,180.000000,bottom
"R4","402","R_0805_2012Metric",2.541300,13.462000,90.000000,bottom
"R5","174","R_0805_2012Metric",2.541300,-22.606000,90.000000,bottom
"R6","200K","R_0805_2012Metric",33.324800,-18.745200,90.000000,bottom
"R7","200K","R_0805_2012Metric",59.309000,-23.622000,90.000000,bottom
"R8","2K2","R_0805_2012Metric",57.429400,-32.512000,90.000000,bottom
"R9","470K","R_0805_2012Metric",9.315900,15.244100,180.000000,bottom
"R10","X","R_0603_1608Metric",-2.792700,2.921000,0.000000,bottom
"R11","2K2","R_0805_2012Metric",59.410600,-32.512000,90.000000,bottom
"R12","200K","R_0805_2012Metric",43.180000,-18.730000,90.000000,bottom
"R13","2K","R_0805_2012Metric",1.465000,-5.395900,90.000000,bottom
"R14","0","R_0603_1608Metric",10.304200,3.924600,-90.000000,bottom
"R15","X","R_0603_1608Metric",6.036300,0.762000,180.000000,bottom
"R16","0","R_0402_1005Metric",15.680500,-3.681000,-90.000000,bottom
"R17","X","R_0402_1005Metric",15.680500,-1.763000,-90.000000,bottom
"R18","0","R_0402_1005Metric",15.670900,2.090200,90.000000,bottom
"R19","X","R_0402_1005Metric",15.670900,0.172200,90.000000,bottom
"R20","0","R_0402_1005Metric",14.204575,4.938000,180.000000,bottom
"R21","X","R_0402_1005Metric",12.286575,4.938000,180.000000,bottom
"R22","0","R_0402_1005Metric",12.320300,1.918000,90.000000,bottom
"R23","X","R_0402_1005Metric",12.320300,0.000000,90.000000,bottom
"RS2","R_{G}=X","R_0805_2012Metric",1.524000,18.034000,90.000000,bottom
"RS3","330","R_0805_2012Metric",-2.540000,18.034000,-90.000000,bottom
"RS5","R_{G}=X","R_0805_2012Metric",1.524000,-18.034000,90.000000,bottom
"RS6","330","R_0805_2012Metric",5.842000,22.860000,0.000000,bottom
"RS7","330","R_0805_2012Metric",-2.540000,-18.034000,-90.000000,bottom
"RS8","330","R_0805_2012Metric",5.842000,-13.208000,0.000000,bottom
"RSW1","10K","R_0805_2012Metric",192.532000,12.446000,180.000000,bottom
"R_{PD.bias}1","0","R_0805_2012Metric",8.637300,21.778000,-90.000000,bottom
"R_{PD.bias}2","0","R_0805_2012Metric",8.637300,-14.290000,-90.000000,bottom
"R_{PD}1","X","R_0805_2012Metric",5.843300,24.892000,180.000000,bottom
"R_{PD}2","X","R_0805_2012Metric",5.843300,-11.176000,180.000000,bottom
"SW0","SW_Push","SW_PUSH_6mm_H4.3mm",189.296300,0.000000,180.000000,bottom
"SW1","SW_Push","SW_PUSH_6mm_H4.3mm",170.239300,-8.255000,180.000000,bottom
"SW2","SW_Push","SW_PUSH_6mm_H4.3mm",179.764300,-8.255000,180.000000,bottom
"SW3","SW_Push","SW_PUSH_6mm_H4.3mm",189.296300,-8.255000,180.000000,bottom
"SW4","SW_Push","SW_PUSH_6mm_H4.3mm",170.239300,-16.510000,180.000000,bottom
"SW5","SW_Push","SW_PUSH_6mm_H4.3mm",179.764300,-16.510000,180.000000,bottom
"SW6","SW_Push","SW_PUSH_6mm_H4.3mm",189.296300,-16.510000,180.000000,bottom
"SW7","SW_Push","SW_PUSH_6mm_H4.3mm",170.246300,-24.765000,180.000000,bottom
"SW8","SW_Push","SW_PUSH_6mm_H4.3mm",179.764300,-24.765000,180.000000,bottom
"SW9","SW_Push","SW_PUSH_6mm_H4.3mm",189.289300,-24.765000,180.000000,bottom
"SW10","SW_Push","SW_PUSH_6mm_H4.3mm",189.296300,8.382000,180.000000,bottom
"TP1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",13.843000,31.496000,180.000000,bottom
"TP2","TestPoint","TestPoint_Keystone_5000-5004_Miniature",9.653300,31.496000,180.000000,bottom
"TP3","TestPoint","TestPoint_Keystone_5000-5004_Miniature",5.462300,31.496000,180.000000,bottom
"TP5","TestPoint","TestPoint_Keystone_5000-5004_Miniature",13.843000,27.432000,180.000000,bottom
"TP5v0-1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",17.400300,23.368000,180.000000,bottom
"TPv1-1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",13.835900,23.400000,180.000000,bottom
"TPv1-2","TestPoint","TestPoint_Keystone_5000-5004_Miniature",13.835900,-12.715000,180.000000,bottom
"U1","C12666MA","Hamamatsu_C12666MA",-7.620000,4.064000,0.000000,bottom
"U3","MCP112-450E/TO","SOT-89-3",23.622000,27.495500,-90.000000,bottom
"U4","LM7805_SOT223","SOT-223-3_TabPin2",25.883900,16.878100,90.000000,bottom
"U5","MCP112-450E/TO","SOT-89-3",114.635300,20.580000,-90.000000,bottom
"U6","LM7805_SOT223","SOT-223-3_TabPin2",116.905200,10.004100,90.000000,bottom
"U7","Teensy4.1","Teensy4.0-1",135.865900,-24.015900,0.000000,bottom
"U8","ADR510","SOT-23",5.901300,12.450000,0.000000,bottom
"U9","LM4040B","SOT-23",5.901300,-23.600000,0.000000,bottom
"U10","TXS0102DCUR","SSOP-8_2.95x2.8mm_P0.65mm",37.315700,-18.712562,0.000000,bottom
"U11","PCA9306DC","VSSOP-8_2.3x2mm_P0.5mm",58.928000,-28.448000,90.000000,bottom
"U12","AD7991","SOT-23-8",11.177300,-3.175000,0.000000,bottom
"U13","X","SOT-23",-2.898700,5.400000,0.000000,bottom
"US1","AD8221","MSOP-8_3x3mm_P0.65mm",5.842000,18.034000,180.000000,bottom
"US2","AD8221","MSOP-8_3x3mm_P0.65mm",5.842000,-18.034000,180.000000,bottom
"UT1","TSIC716-TO92","TO-92_Eline",-3.505200,12.192000,-90.000000,bottom
