Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_3000_1x12mm",-166.980900,24.244100,180.000000,top
"CAN1","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",-48.489900,-20.459900,180.000000,top
"J1-1","Conn_02x03_Counter_Clockwise","PinSocket_2x04_P2.54mm_Vertical_renumber",-24.004300,5.588000,0.000000,top
"J1-2","Conn_02x03_Counter_Clockwise","PinSocket_2x04_P2.54mm_Vertical_renumber",-24.003000,-9.016949,0.000000,top
"J1-3","Conn_02x03_Counter_Clockwise","PinSocket_2x04_P2.54mm_Vertical_renumber",-24.003000,-23.621949,0.000000,top
"J1-3-1","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",-29.083446,-23.621949,0.000000,top
"J1-3-2","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",-21.463000,-23.621949,0.000000,top
"J3V3","Conn_01x01_Male","PinHeader_1x01_P2.54mm_Vertical",-66.800000,12.380000,0.000000,top
"J8","QWICK","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",-41.149300,-33.528000,0.000000,top
"JA1","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",-29.083446,5.588051,0.000000,top
"JAC1","Conn_01x08_Female","ArduCam2MP",45.552800,-23.398400,-90.000000,top
"JAPC1","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",-29.083446,-9.016949,0.000000,top
"JAUX1","AUX","PinHeader_1x12_P2.54mm_Vertical",-68.199000,-33.337500,180.000000,top
"JD1","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",-21.463000,5.588051,0.000000,top
"JGPS1","GPS","PinHeader_1x05_P2.54mm_Vertical",-80.900000,-20.011000,0.000000,top
"JUT1","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",-21.463000,-9.016949,0.000000,top
"JVIN1","Conn_01x01_Male","PinHeader_1x01_P2.54mm_Vertical",-10.414000,27.432100,90.000000,top
"PD1","S1336-18BK","S1336",8.128000,25.908000,180.000000,top
"RV1","10K","Potentiometer_Bourns_3296P_Horizontal",-9.627900,12.687100,-90.000000,top
"TP4","TestPoint","TestPoint_Keystone_5000-5004_Miniature",-103.086300,22.733000,90.000000,top
"U2","C12666MA","Hamamatsu_C12666MA",7.620000,-4.064000,0.000000,top
"UT2","TSIC716-TO92","TO-92_Eline",3.505200,-12.192000,90.000000,top
